source_entity,target_entity,target_answer,control_word,target_token,control_token,target_clean_rank,control_clean_rank,target_clean_log_probability,control_clean_log_probability,clean_log_probability_mismatch,semantic_target_delta,semantic_control_delta,control_target_delta,control_semantic_target_delta,semantic_energy,control_energy,relative_energy_mismatch
England,Austria,Vienna,James,23825,3700,642,643,-8.950493812561035,-8.95247745513916,0.001983642578125,8.359979629516602,-1.7247066497802734,8.838932037353516,-6.745044708251953,3849.5761108398438,3849.576202392578,2.3782549490890927e-08
England,Ireland,Dublin,Suffolk,18220,45034,78,79,-6.380624294281006,-6.39828634262085,0.01766204833984375,6.0451202392578125,-2.527167797088623,6.287245750427246,-4.936929225921631,2570.9500122070312,2570.949737548828,1.0683140544192057e-07
Germany,France,Paris,Ant,6342,3738,102,101,-6.752353191375732,-6.746257305145264,-0.00609588623046875,6.462334632873535,-1.388110637664795,5.842146396636963,-1.9586997032165527,2433.851058959961,2433.8514289855957,1.5203298221697478e-07
Germany,Spain,Madrid,Dak,14708,11775,1070,1069,-9.67092514038086,-9.67013931274414,-0.00078582763671875,9.669041633605957,-7.249637603759766,9.6701078414917,-13.170841217041016,6594.237411499023,6594.2381591796875,1.133839468319256e-07
Germany,Russia,Moscow,Box,9070,8315,505,504,-8.68173599243164,-8.680248260498047,-0.00148773193359375,8.655305862426758,-6.814413070678711,8.660956382751465,-7.3779144287109375,6240.03369140625,6240.032470703125,1.9562444457329575e-07
Germany,Austria,Vienna,Austria,23825,17322,12,11,-4.48042631149292,-4.35969877243042,-0.1207275390625,4.457662582397461,0.03848838806152344,4.351443290710449,-4.318371295928955,1767.6862564086914,1767.6860961914062,9.063672050138266e-08
Germany,Poland,Warsaw,Springer,32955,43100,253,252,-7.959315776824951,-7.957820415496826,-0.001495361328125,7.943005561828613,-8.87773323059082,7.957819938659668,-20.736072540283203,5840.1483154296875,5840.148834228516,8.883315972547e-08
Germany,Ireland,Dublin,Jur,18220,23383,972,976,-9.521549224853516,-9.524250030517578,0.0027008056640625,9.519227981567383,-6.513654708862305,9.524232864379883,-15.537290573120117,5431.32861328125,5431.328063964844,1.0113849581974369e-07
Germany,Norway,Oslo,Fors,39636,27325,392,393,-8.417804718017578,-8.421772003173828,0.00396728515625,8.413175582885742,-7.062639236450195,8.42176628112793,-17.424776077270508,4738.236236572266,4738.235778808594,9.661056330238092e-08
Germany,Sweden,Stockholm,Sal,29679,4849,125,126,-7.070552349090576,-7.084666728973389,0.0141143798828125,7.058435440063477,-3.8265442848205566,6.24301290512085,-1.4452767372131348,2587.7842864990234,2587.784393310547,4.1275280940052306e-08
Italy,France,Paris,Ost,6342,38919,38,41,-5.881078720092773,-5.938039779663086,0.0569610595703125,2.889915704727173,-0.42273712158203125,3.5229299068450928,-0.4641761779785156,318.09582459926605,318.09584760665894,7.23284969624649e-08
Italy,England,London,Ver,3576,4643,93,94,-6.711088180541992,-6.714788436889648,0.00370025634765625,2.224010467529297,0.054103851318359375,3.4925434589385986,-0.43868541717529297,421.2385902404785,421.23854637145996,1.0414292415527116e-07
Italy,Germany,Berlin,USA,11307,4916,112,111,-6.849325180053711,-6.847127914428711,-0.002197265625,5.652353286743164,-0.22095298767089844,5.732501983642578,-1.0732460021972656,1167.0831050872803,1167.0830726623535,2.7782877343072843e-08
Italy,Portugal,Lisbon,Mod,41898,3401,51,52,-6.082029342651367,-6.122060775756836,0.04003143310546875,6.0510945320129395,-3.728759765625,5.547648906707764,-3.9719552993774414,2276.697708129883,2276.6976318359375,3.351079286462194e-08
Italy,China,Beijing,Balk,11618,29643,1289,1290,-9.755094528198242,-9.755308151245117,0.000213623046875,9.582207679748535,-5.28665828704834,9.754732131958008,-13.625738143920898,4210.816543579102,4210.816665649414,2.898970098475079e-08
Italy,Ireland,Dublin,Cart,18220,13690,343,345,-7.998563766479492,-8.004438400268555,0.0058746337890625,7.78164529800415,-2.663637161254883,7.765987873077393,-3.6407127380371094,2058.2339935302734,2058.233932495117,2.9654138665406445e-08
Spain,France,Paris,Bil,6342,24207,48,49,-6.322902679443359,-6.326984405517578,0.00408172607421875,3.7830324172973633,-0.30370616912841797,5.398748397827148,-0.6636447906494141,659.7407221794128,659.7407064437866,2.3851227750079537e-08
Spain,England,London,Vis,3576,6911,130,129,-7.344654083251953,-7.342029571533203,-0.00262451171875,2.792954444885254,-0.13172054290771484,5.591090679168701,-0.19380617141723633,781.4829711914062,781.483039855957,8.786442355431977e-08
Spain,Germany,Berlin,Par,11307,2547,347,348,-8.510540008544922,-8.511234283447266,0.00069427490234375,8.08832836151123,-0.5939836502075195,5.500353813171387,-0.21996021270751953,2574.397699356079,2574.397515773773,7.131077919861474e-08
Spain,Italy,Rome,Dep,10598,2129,82,83,-6.753543853759766,-6.771411895751953,0.0178680419921875,6.648521900177002,-3.6674766540527344,6.318666458129883,-2.337923049926758,1865.729968070984,1865.7300281524658,3.220266756807965e-08
Spain,Japan,Tokyo,Downtown,11790,25657,1387,1386,-10.494342803955078,-10.494159698486328,-0.00018310546875,10.30806827545166,0.8304529190063477,10.407567024230957,-0.6161909103393555,3359.235921859741,3359.2359223365784,1.419481004892143e-10
Spain,China,Beijing,Sam,11618,3409,1145,1144,-10.182720184326172,-10.180858612060547,-0.001861572265625,10.091497421264648,-2.1568775177001953,7.101256370544434,-0.09550094604492188,4905.211990356445,4905.212852478027,1.7575623311003985e-07
Spain,Russia,Moscow,When,9070,1649,1132,1130,-10.158870697021484,-10.156902313232422,-0.0019683837890625,9.946758270263672,-0.6295928955078125,4.718916893005371,0.1816244125366211,4572.465805053711,4572.466178894043,8.175902193036928e-08
Spain,Norway,Oslo,Tim,39636,5045,920,919,-9.853260040283203,-9.852855682373047,-0.00040435791015625,9.852819442749023,-7.194238662719727,8.176385879516602,-0.411346435546875,5401.955459594727,5401.956298828125,1.5535733397188399e-07
Portugal,France,Paris,Sur,6342,4198,69,70,-6.875733375549316,-6.877671241760254,0.0019378662109375,0.7746968269348145,0.30045366287231445,0.9697556495666504,0.21777963638305664,131.87633895874023,131.87634181976318,2.1694740480427426e-08
Portugal,England,London,Pro,3576,1041,103,102,-7.294381141662598,-7.288926124572754,-0.00545501708984375,0.20337295532226562,0.20405960083007812,0.3033180236816406,0.14552688598632812,186.45319080352783,186.4531602859497,1.6367420687993173e-07
Portugal,Germany,Berlin,Ins,11307,7088,443,445,-8.729157447814941,-8.733246803283691,0.00408935546875,5.518476486206055,0.4014911651611328,4.459030628204346,0.3192300796508789,901.5882284641266,901.5884116888046,2.0322434594302285e-07
Portugal,Italy,Rome,Lis,10598,28546,94,93,-7.170533180236816,-7.156510353088379,-0.0140228271484375,4.719943523406982,-0.7748608589172363,5.7013115882873535,-0.3847174644470215,681.5814433097839,681.581458568573,2.2387330541751215e-08
Portugal,Spain,Madrid,Real,14708,6416,13,10,-4.976449012756348,-4.893166542053223,-0.083282470703125,1.91218900680542,0.5016207695007324,-1.4511094093322754,-0.5254960060119629,163.4142017364502,163.41423273086548,1.8966781928286772e-07
Portugal,Japan,Tokyo,Palm,11790,18358,2204,2205,-10.939156532287598,-10.93935489654541,0.0001983642578125,8.188015937805176,0.49440860748291016,9.28889274597168,0.07001686096191406,1905.5188706815243,1905.5188706815243,0.0
Portugal,China,Beijing,Poss,11618,29265,1509,1508,-10.338814735412598,-10.338486671447754,-0.00032806396484375,9.304323196411133,-0.08296012878417969,9.853826522827148,-1.618673324584961,2403.7213621139526,2403.7214851379395,5.11806354744099e-08
