condition,source_token,target_token,source_clean_rank,source_clean_probability,target_prompt_rank,target_prompt_probability,target_clean_probability,source_logit_clean,target_logit_clean,source_logit,target_logit,source_logit_delta,target_logit_delta,source_log_probability_delta,target_log_probability_delta,source_probability_clean,target_probability_clean,source_probability,target_probability,target_rank_clean,target_rank,target_rank_change,kl_clean_to_intervened,intervention_norm,intervention_cosine_with_semantic,removed_energy
matched_random,15584.733333333334,17629.416666666668,1.4333333333333333,0.19124234517415362,1.4333333333333333,0.2075359931836525,0.0007741514940164198,-87.88195292154948,-94.62730242411295,-85.16580632527669,-91.71976318359376,2.7161465962727864,2.9075392405192058,-0.2768294999996821,-0.08543691635131836,0.19124234517415362,0.0007741514940164198,0.17135583801815904,0.0008502881271359019,885.6666666666666,1092.55,206.88333333333333,0.19327708449369915,57.847732130686445,-0.0036610488469401964,3890.845856730143
noop,15584.733333333334,17629.416666666668,1.4333333333333333,0.19124234517415362,1.4333333333333333,0.2075359931836525,0.0007741514940164198,-87.88195292154948,-94.62730242411295,-87.88195292154948,-94.62730242411295,0.0,0.0,0.0,0.0,0.19124234517415362,0.0007741514940164198,0.19124234517415362,0.0007741514940164198,885.6666666666666,885.6666666666666,0.0,0.0,0.0,0.0,0.0
positive_control,15584.733333333334,17629.416666666668,1.4333333333333333,0.19124234517415362,1.4333333333333333,0.2075359931836525,0.0007741514940164198,-87.88195292154948,-94.62730242411295,-100.4349910736084,-85.75753949483236,-12.55303815205892,8.869762929280599,-13.461891291538874,7.960909716288248,0.19124234517415362,0.0007741514940164198,0.0035773813767063863,0.763969661683465,885.6666666666666,1.4333333333333333,-884.2333333333333,7.362117594480514,57.84773041407267,0.7906216390430927,3890.8458658854165
semantic,15584.733333333334,17629.416666666668,1.4333333333333333,0.19124234517415362,1.4333333333333333,0.2075359931836525,0.0007741514940164198,-87.88195292154948,-94.62730242411295,-108.79525165557861,-96.25815153121948,-20.913298734029134,-1.6308490753173828,-11.87268991669019,7.409759628772735,0.19124234517415362,0.0007741514940164198,0.013821121091454,0.6057743687551314,885.6666666666666,3.7,-881.9666666666667,5.938928637529413,57.84773136774699,0.9999999940395355,3890.8458590189616
shuffled,15584.733333333334,17629.416666666668,1.4333333333333333,0.19124234517415362,1.4333333333333333,0.2075359931836525,0.0007741514940164198,-87.88195292154948,-94.62730242411295,-108.9803744951884,-106.6126493136088,-21.098421478271483,-11.985346794128418,-11.620346289873122,-2.507271639506022,0.19124234517415362,0.0007741514940164198,0.011342793324517542,0.0008556976948308623,885.6666666666666,1344.7333333333333,459.06666666666666,5.798353636513154,57.847732083002725,0.5385878262420495,3890.845866648356
